Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
24 León;TOTAL EDADES;Españoles;Ambos sexos;2018;445.253
24 León;TOTAL EDADES;Españoles;Ambos sexos;2017;450.071
24 León;TOTAL EDADES;Españoles;Ambos sexos;2016;454.475
24 León;TOTAL EDADES;Españoles;Ambos sexos;2015;458.782
24 León;TOTAL EDADES;Españoles;Ambos sexos;2014;461.912
24 León;TOTAL EDADES;Españoles;Ambos sexos;2013;464.497
24 León;TOTAL EDADES;Españoles;Ambos sexos;2012;468.290
24 León;TOTAL EDADES;Españoles;Ambos sexos;2011;471.539
24 León;TOTAL EDADES;Españoles;Ambos sexos;2010;473.321
24 León;TOTAL EDADES;Españoles;Ambos sexos;2009;475.089
24 León;TOTAL EDADES;Españoles;Ambos sexos;2008;476.820
24 León;TOTAL EDADES;Españoles;Ambos sexos;2007;478.122
24 León;TOTAL EDADES;Españoles;Ambos sexos;2006;481.022
24 León;TOTAL EDADES;Españoles;Ambos sexos;2005;481.718
24 León;TOTAL EDADES;Españoles;Ambos sexos;2004;481.143
24 León;TOTAL EDADES;Españoles;Ambos sexos;2003;484.523
24 León;TOTAL EDADES;Españoles;Ambos sexos;2002;487.128
24 León;TOTAL EDADES;Españoles;Ambos sexos;2001;491.739
24 León;TOTAL EDADES;Españoles;Ambos sexos;2000;495.110
24 León;TOTAL EDADES;Españoles;Ambos sexos;1999;499.900
24 León;TOTAL EDADES;Españoles;Ambos sexos;1998;500.242
24 León;TOTAL EDADES;Españoles;Hombres;2022;207.871
24 León;TOTAL EDADES;Españoles;Hombres;2021;209.774
24 León;TOTAL EDADES;Españoles;Hombres;2020;212.057
24 León;TOTAL EDADES;Españoles;Hombres;2019;214.455
24 León;TOTAL EDADES;Españoles;Hombres;2018;216.577
24 León;TOTAL EDADES;Españoles;Hombres;2017;219.017
24 León;TOTAL EDADES;Españoles;Hombres;2016;221.230
24 León;TOTAL EDADES;Españoles;Hombres;2015;223.324
24 León;TOTAL EDADES;Españoles;Hombres;2014;224.987
24 León;TOTAL EDADES;Españoles;Hombres;2013;226.366
24 León;TOTAL EDADES;Españoles;Hombres;2012;228.378
24 León;TOTAL EDADES;Españoles;Hombres;2011;229.939
24 León;TOTAL EDADES;Españoles;Hombres;2010;230.914
24 León;TOTAL EDADES;Españoles;Hombres;2009;231.855
24 León;TOTAL EDADES;Españoles;Hombres;2008;232.688
24 León;TOTAL EDADES;Españoles;Hombres;2007;233.318
24 León;TOTAL EDADES;Españoles;Hombres;2006;234.657
24 León;TOTAL EDADES;Españoles;Hombres;2005;234.982
24 León;TOTAL EDADES;Españoles;Hombres;2004;234.889
24 León;TOTAL EDADES;Españoles;Hombres;2003;236.687
24 León;TOTAL EDADES;Españoles;Hombres;2002;237.886
24 León;TOTAL EDADES;Españoles;Hombres;2001;240.129
24 León;TOTAL EDADES;Españoles;Hombres;2000;241.778
24 León;TOTAL EDADES;Españoles;Hombres;1999;244.388
24 León;TOTAL EDADES;Españoles;Hombres;1998;244.499
24 León;TOTAL EDADES;Españoles;Mujeres;2022;219.886
24 León;TOTAL EDADES;Españoles;Mujeres;2021;221.701
24 León;TOTAL EDADES;Españoles;Mujeres;2020;224.037
24 León;TOTAL EDADES;Españoles;Mujeres;2019;226.437
24 León;TOTAL EDADES;Españoles;Mujeres;2018;228.676
24 León;TOTAL EDADES;Españoles;Mujeres;2017;231.054
24 León;TOTAL EDADES;Españoles;Mujeres;2016;233.245
24 León;TOTAL EDADES;Españoles;Mujeres;2015;235.458
24 León;TOTAL EDADES;Españoles;Mujeres;2014;236.925
24 León;TOTAL EDADES;Españoles;Mujeres;2013;238.131
24 León;TOTAL EDADES;Españoles;Mujeres;2012;239.912
24 León;TOTAL EDADES;Españoles;Mujeres;2011;241.600
24 León;TOTAL EDADES;Españoles;Mujeres;2010;242.407
24 León;TOTAL EDADES;Españoles;Mujeres;2009;243.234
24 León;TOTAL EDADES;Españoles;Mujeres;2008;244.132
24 León;TOTAL EDADES;Españoles;Mujeres;2007;244.804
24 León;TOTAL EDADES;Españoles;Mujeres;2006;246.365
24 León;TOTAL EDADES;Españoles;Mujeres;2005;246.736
24 León;TOTAL EDADES;Españoles;Mujeres;2004;246.254
24 León;TOTAL EDADES;Españoles;Mujeres;2003;247.836
24 León;TOTAL EDADES;Españoles;Mujeres;2002;249.242
24 León;TOTAL EDADES;Españoles;Mujeres;2001;251.610
24 León;TOTAL EDADES;Españoles;Mujeres;2000;253.332
24 León;TOTAL EDADES;Españoles;Mujeres;1999;255.512
24 León;TOTAL EDADES;Españoles;Mujeres;1998;255.743
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2022;20.422
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2021;20.231
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2020;20.345
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2019;19.109
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2018;18.493
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2017;18.245
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2016;19.129
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2015;20.613
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2014;22.782
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2013;25.255
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2012;26.161
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2011;26.260
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2010;25.963
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2009;25.080
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2008;23.380
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2007;19.265
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2006;17.201
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2005;14.184
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2004;11.577
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2003;11.475
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2002;9.527
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2001;7.778
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;2000;7.045
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;1999;6.611
24 León;TOTAL EDADES;Extranjeros;Ambos sexos;1998;6.123
24 León;TOTAL EDADES;Extranjeros;Hombres;2022;9.844
24 León;TOTAL EDADES;Extranjeros;Hombres;2021;9.758
24 León;TOTAL EDADES;Extranjeros;Hombres;2020;9.847
24 León;TOTAL EDADES;Extranjeros;Hombres;2019;9.289
24 León;TOTAL EDADES;Extranjeros;Hombres;2018;9.069
24 León;TOTAL EDADES;Extranjeros;Hombres;2017;9.042
24 León;TOTAL EDADES;Extranjeros;Hombres;2016;9.497
24 León;TOTAL EDADES;Extranjeros;Hombres;2015;10.340
24 León;TOTAL EDADES;Extranjeros;Hombres;2014;11.550
24 León;TOTAL EDADES;Extranjeros;Hombres;2013;12.813
24 León;TOTAL EDADES;Extranjeros;Hombres;2012;13.371
24 León;TOTAL EDADES;Extranjeros;Hombres;2011;13.377
24 León;TOTAL EDADES;Extranjeros;Hombres;2010;13.285
24 León;TOTAL EDADES;Extranjeros;Hombres;2009;12.861
24 León;TOTAL EDADES;Extranjeros;Hombres;2008;12.098
24 León;TOTAL EDADES;Extranjeros;Hombres;2007;9.621
24 León;TOTAL EDADES;Extranjeros;Hombres;2006;8.394
24 León;TOTAL EDADES;Extranjeros;Hombres;2005;6.774
24 León;TOTAL EDADES;Extranjeros;Hombres;2004;5.453
24 León;TOTAL EDADES;Extranjeros;Hombres;2003;5.419
24 León;TOTAL EDADES;Extranjeros;Hombres;2002;4.523
24 León;TOTAL EDADES;Extranjeros;Hombres;2001;3.717
24 León;TOTAL EDADES;Extranjeros;Hombres;2000;3.504
24 León;TOTAL EDADES;Extranjeros;Hombres;1999;3.289
24 León;TOTAL EDADES;Extranjeros;Hombres;1998;3.070
24 León;TOTAL EDADES;Extranjeros;Mujeres;2022;10.578
24 León;TOTAL EDADES;Extranjeros;Mujeres;2021;10.473
24 León;TOTAL EDADES;Extranjeros;Mujeres;2020;10.498
24 León;TOTAL EDADES;Extranjeros;Mujeres;2019;9.820
24 León;TOTAL EDADES;Extranjeros;Mujeres;2018;9.424
24 León;TOTAL EDADES;Extranjeros;Mujeres;2017;9.203
24 León;TOTAL EDADES;Extranjeros;Mujeres;2016;9.632
24 León;TOTAL EDADES;Extranjeros;Mujeres;2015;10.273
24 León;TOTAL EDADES;Extranjeros;Mujeres;2014;11.232
24 León;TOTAL EDADES;Extranjeros;Mujeres;2013;12.442
24 León;TOTAL EDADES;Extranjeros;Mujeres;2012;12.790
24 León;TOTAL EDADES;Extranjeros;Mujeres;2011;12.883
24 León;TOTAL EDADES;Extranjeros;Mujeres;2010;12.678
24 León;TOTAL EDADES;Extranjeros;Mujeres;2009;12.219
24 León;TOTAL EDADES;Extranjeros;Mujeres;2008;11.282
24 León;TOTAL EDADES;Extranjeros;Mujeres;2007;9.644
24 León;TOTAL EDADES;Extranjeros;Mujeres;2006;8.807
24 León;TOTAL EDADES;Extranjeros;Mujeres;2005;7.410
24 León;TOTAL EDADES;Extranjeros;Mujeres;2004;6.124
24 León;TOTAL EDADES;Extranjeros;Mujeres;2003;6.056
24 León;TOTAL EDADES;Extranjeros;Mujeres;2002;5.004
24 León;TOTAL EDADES;Extranjeros;Mujeres;2001;4.061
24 León;TOTAL EDADES;Extranjeros;Mujeres;2000;3.541
24 León;TOTAL EDADES;Extranjeros;Mujeres;1999;3.322
24 León;TOTAL EDADES;Extranjeros;Mujeres;1998;3.053
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2022;4,56
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2021;4,48
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2020;4,46
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2019;4,15
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2018;3,99
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2017;3,90
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2016;4,04
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2015;4,30
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2014;4,70
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2013;5,16
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2012;5,29
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2011;5,28
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2010;5,20
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2009;5,01
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2008;4,67
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2007;3,87
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2006;3,45
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2005;2,86
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2004;2,35
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2003;2,31
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2002;1,92
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2001;1,56
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;2000;1,40
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;1999;1,31
24 León;TOTAL EDADES;% Extranjeros;Ambos sexos;1998;1,21
24 León;TOTAL EDADES;% Extranjeros;Hombres;2022;4,52
24 León;TOTAL EDADES;% Extranjeros;Hombres;2021;4,44
24 León;TOTAL EDADES;% Extranjeros;Hombres;2020;4,44
24 León;TOTAL EDADES;% Extranjeros;Hombres;2019;4,15
24 León;TOTAL EDADES;% Extranjeros;Hombres;2018;4,02
24 León;TOTAL EDADES;% Extranjeros;Hombres;2017;3,96
24 León;TOTAL EDADES;% Extranjeros;Hombres;2016;4,12
24 León;TOTAL EDADES;% Extranjeros;Hombres;2015;4,43
24 León;TOTAL EDADES;% Extranjeros;Hombres;2014;4,88
24 León;TOTAL EDADES;% Extranjeros;Hombres;2013;5,36
24 León;TOTAL EDADES;% Extranjeros;Hombres;2012;5,53
24 León;TOTAL EDADES;% Extranjeros;Hombres;2011;5,50
24 León;TOTAL EDADES;% Extranjeros;Hombres;2010;5,44
24 León;TOTAL EDADES;% Extranjeros;Hombres;2009;5,26
24 León;TOTAL EDADES;% Extranjeros;Hombres;2008;4,94
24 León;TOTAL EDADES;% Extranjeros;Hombres;2007;3,96
24 León;TOTAL EDADES;% Extranjeros;Hombres;2006;3,45
24 León;TOTAL EDADES;% Extranjeros;Hombres;2005;2,80
24 León;TOTAL EDADES;% Extranjeros;Hombres;2004;2,27
24 León;TOTAL EDADES;% Extranjeros;Hombres;2003;2,24
24 León;TOTAL EDADES;% Extranjeros;Hombres;2002;1,87
24 León;TOTAL EDADES;% Extranjeros;Hombres;2001;1,52
24 León;TOTAL EDADES;% Extranjeros;Hombres;2000;1,43
24 León;TOTAL EDADES;% Extranjeros;Hombres;1999;1,33
24 León;TOTAL EDADES;% Extranjeros;Hombres;1998;1,24
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2022;4,59
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2021;4,51
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2020;4,48
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2019;4,16
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2018;3,96
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2017;3,83
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2016;3,97
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2015;4,18
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2014;4,53
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2013;4,97
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2012;5,06
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2011;5,06
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2010;4,97
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2009;4,78
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2008;4,42
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2007;3,79
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2006;3,45
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2005;2,92
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2004;2,43
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2003;2,39
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2002;1,97
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2001;1,59
24 León;TOTAL EDADES;% Extranjeros;Mujeres;2000;1,38
24 León;TOTAL EDADES;% Extranjeros;Mujeres;1999;1,28
24 León;TOTAL EDADES;% Extranjeros;Mujeres;1998;1,18
24 León;0-15 años;TOTAL;Ambos sexos;2022;49.171
24 León;0-15 años;TOTAL;Ambos sexos;2021;50.194
24 León;0-15 años;TOTAL;Ambos sexos;2020;51.394
24 León;0-15 años;TOTAL;Ambos sexos;2019;52.383
24 León;0-15 años;TOTAL;Ambos sexos;2018;53.033
24 León;0-15 años;TOTAL;Ambos sexos;2017;53.793
24 León;0-15 años;TOTAL;Ambos sexos;2016;54.626
24 León;0-15 años;TOTAL;Ambos sexos;2015;55.176
24 León;0-15 años;TOTAL;Ambos sexos;2014;55.862
24 León;0-15 años;TOTAL;Ambos sexos;2013;56.639
24 León;0-15 años;TOTAL;Ambos sexos;2012;56.925
24 León;0-15 años;TOTAL;Ambos sexos;2011;57.238
24 León;0-15 años;TOTAL;Ambos sexos;2010;57.313
24 León;0-15 años;TOTAL;Ambos sexos;2009;57.142
24 León;0-15 años;TOTAL;Ambos sexos;2008;56.862
24 León;0-15 años;TOTAL;Ambos sexos;2007;56.012
24 León;0-15 años;TOTAL;Ambos sexos;2006;56.352
24 León;0-15 años;TOTAL;Ambos sexos;2005;56.675
24 León;0-15 años;TOTAL;Ambos sexos;2004;55.869
24 León;0-15 años;TOTAL;Ambos sexos;2003;57.879
24 León;0-15 años;TOTAL;Ambos sexos;2002;57.789
24 León;0-15 años;TOTAL;Ambos sexos;2001;60.043
24 León;0-15 años;TOTAL;Ambos sexos;2000;63.105
24 León;0-15 años;TOTAL;Ambos sexos;1999;66.758
24 León;0-15 años;TOTAL;Ambos sexos;1998;70.193
24 León;0-15 años;TOTAL;Hombres;2022;25.219
24 León;0-15 años;TOTAL;Hombres;2021;25.833
24 León;0-15 años;TOTAL;Hombres;2020;26.460
24 León;0-15 años;TOTAL;Hombres;2019;26.878
24 León;0-15 años;TOTAL;Hombres;2018;27.127
24 León;0-15 años;TOTAL;Hombres;2017;27.585
24 León;0-15 años;TOTAL;Hombres;2016;28.001
24 León;0-15 años;TOTAL;Hombres;2015;28.275
24 León;0-15 años;TOTAL;Hombres;2014;28.710
24 León;0-15 años;TOTAL;Hombres;2013;29.052
24 León;0-15 años;TOTAL;Hombres;2012;29.178
24 León;0-15 años;TOTAL;Hombres;2011;29.380
24 León;0-15 años;TOTAL;Hombres;2010;29.485
24 León;0-15 años;TOTAL;Hombres;2009;29.400
24 León;0-15 años;TOTAL;Hombres;2008;29.342
24 León;0-15 años;TOTAL;Hombres;2007;28.974
24 León;0-15 años;TOTAL;Hombres;2006;29.025
24 León;0-15 años;TOTAL;Hombres;2005;29.176
24 León;0-15 años;TOTAL;Hombres;2004;28.772
24 León;0-15 años;TOTAL;Hombres;2003;29.822
24 León;0-15 años;TOTAL;Hombres;2002;29.674
24 León;0-15 años;TOTAL;Hombres;2001;30.896
24 León;0-15 años;TOTAL;Hombres;2000;32.485
24 León;0-15 años;TOTAL;Hombres;1999;34.345
24 León;0-15 años;TOTAL;Hombres;1998;35.986
24 León;0-15 años;TOTAL;Mujeres;2022;23.952
24 León;0-15 años;TOTAL;Mujeres;2021;24.361
24 León;0-15 años;TOTAL;Mujeres;2020;24.934
24 León;0-15 años;TOTAL;Mujeres;2019;25.505
24 León;0-15 años;TOTAL;Mujeres;2018;25.906
24 León;0-15 años;TOTAL;Mujeres;2017;26.208
24 León;0-15 años;TOTAL;Mujeres;2016;26.625
24 León;0-15 años;TOTAL;Mujeres;2015;26.901
24 León;0-15 años;TOTAL;Mujeres;2014;27.152
24 León;0-15 años;TOTAL;Mujeres;2013;27.587
24 León;0-15 años;TOTAL;Mujeres;2012;27.747
24 León;0-15 años;TOTAL;Mujeres;2011;27.858
24 León;0-15 años;TOTAL;Mujeres;2010;27.828
24 León;0-15 años;TOTAL;Mujeres;2009;27.742
24 León;0-15 años;TOTAL;Mujeres;2008;27.520
24 León;0-15 años;TOTAL;Mujeres;2007;27.038
24 León;0-15 años;TOTAL;Mujeres;2006;27.327
24 León;0-15 años;TOTAL;Mujeres;2005;27.499
24 León;0-15 años;TOTAL;Mujeres;2004;27.097
24 León;0-15 años;TOTAL;Mujeres;2003;28.057
24 León;0-15 años;TOTAL;Mujeres;2002;28.115
24 León;0-15 años;TOTAL;Mujeres;2001;29.146
24 León;0-15 años;TOTAL;Mujeres;2000;30.620
24 León;0-15 años;TOTAL;Mujeres;1999;32.413
24 León;0-15 años;TOTAL;Mujeres;1998;34.207
24 León;0-15 años;Españoles;Ambos sexos;2022;46.291
24 León;0-15 años;Españoles;Ambos sexos;2021;47.372
24 León;0-15 años;Españoles;Ambos sexos;2020;48.466
24 León;0-15 años;Españoles;Ambos sexos;2019;49.647
24 León;0-15 años;Españoles;Ambos sexos;2018;50.433
24 León;0-15 años;Españoles;Ambos sexos;2017;51.319
24 León;0-15 años;Españoles;Ambos sexos;2016;51.969
24 León;0-15 años;Españoles;Ambos sexos;2015;52.304
24 León;0-15 años;Españoles;Ambos sexos;2014;52.606
24 León;0-15 años;Españoles;Ambos sexos;2013;53.018
24 León;0-15 años;Españoles;Ambos sexos;2012;53.150
24 León;0-15 años;Españoles;Ambos sexos;2011;53.341
24 León;0-15 años;Españoles;Ambos sexos;2010;53.381
24 León;0-15 años;Españoles;Ambos sexos;2009;53.402
24 León;0-15 años;Españoles;Ambos sexos;2008;53.512
24 León;0-15 años;Españoles;Ambos sexos;2007;53.351
24 León;0-15 años;Españoles;Ambos sexos;2006;54.123
24 León;0-15 años;Españoles;Ambos sexos;2005;54.637
24 León;0-15 años;Españoles;Ambos sexos;2004;54.155
24 León;0-15 años;Españoles;Ambos sexos;2003;56.187
24 León;0-15 años;Españoles;Ambos sexos;2002;56.388
24 León;0-15 años;Españoles;Ambos sexos;2001;58.807
24 León;0-15 años;Españoles;Ambos sexos;2000;61.827
24 León;0-15 años;Españoles;Ambos sexos;1999;65.398
24 León;0-15 años;Españoles;Ambos sexos;1998;68.813
24 León;0-15 años;Españoles;Hombres;2022;23.752
24 León;0-15 años;Españoles;Hombres;2021;24.361
24 León;0-15 años;Españoles;Hombres;2020;24.920
24 León;0-15 años;Españoles;Hombres;2019;25.452
24 León;0-15 años;Españoles;Hombres;2018;25.773
24 León;0-15 años;Españoles;Hombres;2017;26.280
24 León;0-15 años;Españoles;Hombres;2016;26.591
24 León;0-15 años;Españoles;Hombres;2015;26.753
24 León;0-15 años;Españoles;Hombres;2014;26.973
24 León;0-15 años;Españoles;Hombres;2013;27.158
24 León;0-15 años;Españoles;Hombres;2012;27.208
24 León;0-15 años;Españoles;Hombres;2011;27.363
24 León;0-15 años;Españoles;Hombres;2010;27.448
24 León;0-15 años;Españoles;Hombres;2009;27.473
24 León;0-15 años;Españoles;Hombres;2008;27.579
24 León;0-15 años;Españoles;Hombres;2007;27.545
24 León;0-15 años;Españoles;Hombres;2006;27.841
24 León;0-15 años;Españoles;Hombres;2005;28.073
24 León;0-15 años;Españoles;Hombres;2004;27.876
24 León;0-15 años;Españoles;Hombres;2003;28.915
24 León;0-15 años;Españoles;Hombres;2002;28.926
24 León;0-15 años;Españoles;Hombres;2001;30.220
24 León;0-15 años;Españoles;Hombres;2000;31.798
24 León;0-15 años;Españoles;Hombres;1999;33.634
24 León;0-15 años;Españoles;Hombres;1998;35.268
24 León;0-15 años;Españoles;Mujeres;2022;22.539
24 León;0-15 años;Españoles;Mujeres;2021;23.011
24 León;0-15 años;Españoles;Mujeres;2020;23.546
24 León;0-15 años;Españoles;Mujeres;2019;24.195
24 León;0-15 años;Españoles;Mujeres;2018;24.660
24 León;0-15 años;Españoles;Mujeres;2017;25.039
24 León;0-15 años;Españoles;Mujeres;2016;25.378
24 León;0-15 años;Españoles;Mujeres;2015;25.551
24 León;0-15 años;Españoles;Mujeres;2014;25.633
24 León;0-15 años;Españoles;Mujeres;2013;25.860
24 León;0-15 años;Españoles;Mujeres;2012;25.942
24 León;0-15 años;Españoles;Mujeres;2011;25.978
24 León;0-15 años;Españoles;Mujeres;2010;25.933
24 León;0-15 años;Españoles;Mujeres;2009;25.929
24 León;0-15 años;Españoles;Mujeres;2008;25.933
24 León;0-15 años;Españoles;Mujeres;2007;25.806
24 León;0-15 años;Españoles;Mujeres;2006;26.282
24 León;0-15 años;Españoles;Mujeres;2005;26.564
24 León;0-15 años;Españoles;Mujeres;2004;26.279
24 León;0-15 años;Españoles;Mujeres;2003;27.272
24 León;0-15 años;Españoles;Mujeres;2002;27.462
24 León;0-15 años;Españoles;Mujeres;2001;28.586
24 León;0-15 años;Españoles;Mujeres;2000;30.029
24 León;0-15 años;Españoles;Mujeres;1999;31.764
24 León;0-15 años;Españoles;Mujeres;1998;33.545
24 León;0-15 años;Extranjeros;Ambos sexos;2022;2.880
24 León;0-15 años;Extranjeros;Ambos sexos;2021;2.822
24 León;0-15 años;Extranjeros;Ambos sexos;2020;2.928
24 León;0-15 años;Extranjeros;Ambos sexos;2019;2.736
24 León;0-15 años;Extranjeros;Ambos sexos;2018;2.600
24 León;0-15 años;Extranjeros;Ambos sexos;2017;2.474
24 León;0-15 años;Extranjeros;Ambos sexos;2016;2.657
24 León;0-15 años;Extranjeros;Ambos sexos;2015;2.872
24 León;0-15 años;Extranjeros;Ambos sexos;2014;3.256
24 León;0-15 años;Extranjeros;Ambos sexos;2013;3.621
24 León;0-15 años;Extranjeros;Ambos sexos;2012;3.775
24 León;0-15 años;Extranjeros;Ambos sexos;2011;3.897
24 León;0-15 años;Extranjeros;Ambos sexos;2010;3.932
24 León;0-15 años;Extranjeros;Ambos sexos;2009;3.740
24 León;0-15 años;Extranjeros;Ambos sexos;2008;3.350
24 León;0-15 años;Extranjeros;Ambos sexos;2007;2.661
24 León;0-15 años;Extranjeros;Ambos sexos;2006;2.229
24 León;0-15 años;Extranjeros;Ambos sexos;2005;2.038
24 León;0-15 años;Extranjeros;Ambos sexos;2004;1.714
24 León;0-15 años;Extranjeros;Ambos sexos;2003;1.692
24 León;0-15 años;Extranjeros;Ambos sexos;2002;1.401
24 León;0-15 años;Extranjeros;Ambos sexos;2001;1.236
24 León;0-15 años;Extranjeros;Ambos sexos;2000;1.278
24 León;0-15 años;Extranjeros;Ambos sexos;1999;1.360
24 León;0-15 años;Extranjeros;Ambos sexos;1998;1.380
24 León;0-15 años;Extranjeros;Hombres;2022;1.467
24 León;0-15 años;Extranjeros;Hombres;2021;1.472
24 León;0-15 años;Extranjeros;Hombres;2020;1.540
24 León;0-15 años;Extranjeros;Hombres;2019;1.426
24 León;0-15 años;Extranjeros;Hombres;2018;1.354
24 León;0-15 años;Extranjeros;Hombres;2017;1.305
24 León;0-15 años;Extranjeros;Hombres;2016;1.410
24 León;0-15 años;Extranjeros;Hombres;2015;1.522
24 León;0-15 años;Extranjeros;Hombres;2014;1.737
24 León;0-15 años;Extranjeros;Hombres;2013;1.894
24 León;0-15 años;Extranjeros;Hombres;2012;1.970
24 León;0-15 años;Extranjeros;Hombres;2011;2.017
24 León;0-15 años;Extranjeros;Hombres;2010;2.037
24 León;0-15 años;Extranjeros;Hombres;2009;1.927
24 León;0-15 años;Extranjeros;Hombres;2008;1.763
24 León;0-15 años;Extranjeros;Hombres;2007;1.429
24 León;0-15 años;Extranjeros;Hombres;2006;1.184
24 León;0-15 años;Extranjeros;Hombres;2005;1.103
24 León;0-15 años;Extranjeros;Hombres;2004;896
24 León;0-15 años;Extranjeros;Hombres;2003;907
24 León;0-15 años;Extranjeros;Hombres;2002;748
24 León;0-15 años;Extranjeros;Hombres;2001;676
24 León;0-15 años;Extranjeros;Hombres;2000;687
24 León;0-15 años;Extranjeros;Hombres;1999;711
24 León;0-15 años;Extranjeros;Hombres;1998;718
24 León;0-15 años;Extranjeros;Mujeres;2022;1.413
24 León;0-15 años;Extranjeros;Mujeres;2021;1.350
24 León;0-15 años;Extranjeros;Mujeres;2020;1.388
24 León;0-15 años;Extranjeros;Mujeres;2019;1.310
24 León;0-15 años;Extranjeros;Mujeres;2018;1.246
24 León;0-15 años;Extranjeros;Mujeres;2017;1.169
24 León;0-15 años;Extranjeros;Mujeres;2016;1.247
24 León;0-15 años;Extranjeros;Mujeres;2015;1.350
24 León;0-15 años;Extranjeros;Mujeres;2014;1.519
24 León;0-15 años;Extranjeros;Mujeres;2013;1.727
24 León;0-15 años;Extranjeros;Mujeres;2012;1.805
24 León;0-15 años;Extranjeros;Mujeres;2011;1.880
24 León;0-15 años;Extranjeros;Mujeres;2010;1.895
24 León;0-15 años;Extranjeros;Mujeres;2009;1.813
24 León;0-15 años;Extranjeros;Mujeres;2008;1.587
24 León;0-15 años;Extranjeros;Mujeres;2007;1.232
24 León;0-15 años;Extranjeros;Mujeres;2006;1.045
24 León;0-15 años;Extranjeros;Mujeres;2005;935
24 León;0-15 años;Extranjeros;Mujeres;2004;818
24 León;0-15 años;Extranjeros;Mujeres;2003;785
